id,agencia,version,nombre
DF_YRMEDIOOCU_SEXO_CISE,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo y categoría ocupacional"
DF_YRMEDIOOCU_SEXO_CIUO,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo y grupo ocupacional (CIUO 08.CL)"
DF_YRMEDIOOCU_SEXO_EDAD,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo y tramo etario"
DF_YRMEDIOOCU_SEXO_EDU,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo y nivel educacional"
DF_YRMEDIOOCU_SEXO_RAMA,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo y rama de actividad económica"
DF_YRMEDIOOCU_SEXO_TRAMOHORA,CL01,1.0,"Ingreso medio real de la población ocupada nacional y regional, según sexo y tramo de horas habitualmente trabajadas"
DF_YRMEDIOTPOCU_SEXO,CL01,1.0,"Ingreso medio real de las personas ocupadas en tiempo parcial nacional y regional, según sexo"
DF_YRMEDIOTPOCU_SEXO_EDAD,CL01,1.0,"Ingreso medio real de las personas ocupadas en tiempo parcial nacional, según sexo y tramo etario"
DF_YRMEDIOTPOCU_SEXO_EDU,CL01,1.0,"Ingreso medio real de las personas ocupadas en tiempo parcial nacional, según sexo y nivel educacional"
DF_YRMEDIOTPOCU_SEXO_TP,CL01,1.0,"Ingreso medio real de las personas ocupadas en tiempo parcial nacional, según sexo y tipo de tiempo parcial"
